year_film,year_ceremony,ceremony,category,name,film,winner
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,0
1927,1928,1,ACTOR,Emil Jannings,The Last Command,1
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,0
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,1
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,0
1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,0
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,1
1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,0
1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,0
1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,1
1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,1
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,1
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,0
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,1
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,0
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,0
1927,1928,1,ENGINEERING EFFECTS,Ralph Hammeras,,0
1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,1
1927,1928,1,ENGINEERING EFFECTS,Nugent Slaughter,,0
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,0
1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,0
1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,1
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,1
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,0
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,0
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,0
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,0
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,1
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,0
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,1
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,0
1927,1928,1,WRITING (Title Writing),Joseph Farnham,,1
1927,1928,1,WRITING (Title Writing),"George Marion, Jr.",,0
1927,1928,1,SPECIAL AWARD, Warner Bros.,,1
1927,1928,1,SPECIAL AWARD, Charles Chaplin,,1
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,0
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,1
1928,1929,2,ACTOR,Chester Morris,Alibi,0
1928,1929,2,ACTOR,Paul Muni,The Valiant,0
1928,1929,2,ACTOR,Lewis Stone,The Patriot,0
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,0
1928,1929,2,ACTRESS,Betty Compson,The Barker,0
1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,0
1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,0
1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,0
1928,1929,2,ACTRESS,Mary Pickford,Coquette,1
1928,1929,2,ART DIRECTION,Hans Dreier,The Patriot,0
1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,1
1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,0
1928,1929,2,ART DIRECTION,William Cameron Menzies,Alibi;,0
1928,1929,2,ART DIRECTION,Harry Oliver,Street Angel,0
1928,1929,2,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,0
1928,1929,2,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,1
1928,1929,2,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,0
1928,1929,2,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,0
1928,1929,2,CINEMATOGRAPHY,John Seitz,The Divine Lady,0
1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,0
1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,0
1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,0
1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,1
1928,1929,2,DIRECTING,Frank Lloyd,Drag;,0
1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,0
1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,0
1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,0
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,1
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,0
1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,0
1928,1929,2,WRITING,Tom Barry,In Old Arizona;,0
1928,1929,2,WRITING,Elliott Clawson,The Cop;,0
1928,1929,2,WRITING,Hans Kraly,The Last of Mrs. Cheyney,0
1928,1929,2,WRITING,Hans Kraly,The Patriot,1
1928,1929,2,WRITING,Josephine Lovett,Our Dancing Daughters,0
1928,1929,2,WRITING,Bess Meredyth,A Woman of Affairs;,0
1929,1930,3,ACTOR,George Arliss,Disraeli,1
1929,1930,3,ACTOR,George Arliss,The Green Goddess,0
1929,1930,3,ACTOR,Wallace Beery,The Big House,0
1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,0
1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,0
1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,0
1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,0
1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,0
1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,0
1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,1
1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,0
1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,0
1929,1930,3,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,0
1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,1
1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,0
1929,1930,3,ART DIRECTION,(Jack Okey),Sally,0
1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,0
1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,0
1929,1930,3,CINEMATOGRAPHY,(William Daniels),Anna Christie,0
1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,0
1929,1930,3,CINEMATOGRAPHY,(Victor Milner),The Love Parade,0
1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,1
1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,0
1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,0
1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,0
1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,1
1929,1930,3,DIRECTING,King Vidor,Hallelujah,0
1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,1
1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,0
1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,0
1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,0
1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,0
1929,1930,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,1
1929,1930,3,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,0
1929,1930,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,0
1929,1930,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,0
1929,1930,3,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,0
1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,0
1929,1930,3,WRITING,Frances Marion,The Big House,1
1929,1930,3,WRITING,(Julian Josephson),Disraeli,0
1929,1930,3,WRITING,(John Meehan),The Divorcee,0
1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,0
1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,1
1930,1931,4,ACTOR,Jackie Cooper,Skippy,0
1930,1931,4,ACTOR,Richard Dix,Cimarron,0
1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,0
1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,0
1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,0
1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,1
1930,1931,4,ACTRESS,Irene Dunne,Cimarron,0
1930,1931,4,ACTRESS,Ann Harding,Holiday,0
1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,0
1930,1931,4,ART DIRECTION,Max Rée,Cimarron,1
1930,1931,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,0
1930,1931,4,ART DIRECTION,Hans Dreier,Morocco,0
1930,1931,4,ART DIRECTION,Anton Grot,Svengali,0
1930,1931,4,ART DIRECTION,Richard Day,Whoopee!,0
1930,1931,4,CINEMATOGRAPHY,Edward Cronjager,Cimarron,0
1930,1931,4,CINEMATOGRAPHY,Lee Garmes,Morocco,0
1930,1931,4,CINEMATOGRAPHY,Charles Lang,The Right to Love,0
1930,1931,4,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,0
1930,1931,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,1
1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,0
1930,1931,4,DIRECTING,Clarence Brown,A Free Soul,0
1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,0
1930,1931,4,DIRECTING,Josef Von Sternberg,Morocco,0
1930,1931,4,DIRECTING,Norman Taurog,Skippy,1
1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,1
1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,0
1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,0
1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,0
1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,0
1930,1931,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,,0
1930,1931,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,0
1930,1931,4,SOUND RECORDING,Paramount Publix Studio Sound Department,,1
1930,1931,4,SOUND RECORDING,RKO Radio Studio Sound Department,,0
1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,1
